HoofdlemmaURL;Hoofdlemma;Literatuur;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02701.php;positivisme;A. Kremer-Marietti, Le positivisme (Que sais-je?) (19932);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02765.php;utopische literatuur;A.C.J. de Vrankrijker, Onze anarchisten en utopisten rond 1900 (1972);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02838.php;smaak;B. Luger, ‘Wie las wat in de negentiende eeuw?’ in W. van den Berg & P. van Zonneveld (red.), Nederlandse literatuur van de negentiende eeuw (1986) p. 46-68;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03317.php;canon-1;D. Fokkema & E. Ibsch, ‘De canon als kritisch en didactisch instrument’ in Literatuurwetenschap & cultuuroverdracht (1992), p. 51-63;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00767.php;dadaïsme;E. Philipp, Dadaïsmus (1980);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00788.php;dramatische ironie;"F. Brandsma, ‘Si loech stillekine"";"" dramatische ironie en entrelacement in de Lancelotcompilatie’ in Monniken, ridders en zeevaarders. Opstellen […] aangeboden aan Maartje Draak (1988), p. 119-140";
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02745.php;sotternie; F. van Meurs, ‘De abele spelen en de navolgende sotternieën als thematisch tweeluik’ in Literatuur 5 (1988), p. 149-156;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00928.php;spreuk; F. van Oostrom, Wereld in woorden: Geschiedenis van de Nederlandse literatuur 1300-1400 (2013), p. 123-131.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02770.php;virelai; F. Willaert. ‘Ic sac noit so roden munt van hertog Jan I van Brabant’ in De nieuwe taalgids 79 (1986) 6, p. 481-492;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02992.php;wit-1; F.A. Janssen, Zetten en drukken in de achttiende eeuw (19862), p. 436 v.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04182.php;stadsdichter; H. Brinkman, ‘De Gentse dichter Everaert Taybaert en het stadsdichterschap in de late middeleeuwen’ in Spiegel der letteren 53 (2011), p. 419-442;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03272.php;Vijftigers; H. Dütting (red.), Archief de Vijftigers, 2 dln (1983);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02992.php;wit-1; H. van Krimpen, Boek over het maken van boeken (1986), p. 28 v., 423-435;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00867.php;fantastische literatuur; Het fantastische, speciaal nummer van De Revisor 8 (1981) 5;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03343.php;determinisme; I.N. Bulhof, Darwins Origin of Species: Betoverende wetenschap (1988);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00224.php;bibliofilie; J. Kirchner, Lexikon des Buchwesens (1952-1956);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02703.php;queeste; J. Kruithof, ‘Daarheen en weer terug’ in Sprookjesnummer, themanummer van Bzzlletin 10 (1981-1982), p. 100-104;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03353.php;directe rede; J. Luif, ‘Zijn zinnen in de directe rede bijzinnen?’ in J.B. den Besten e.a. (red.), Vragende wijs: vragen over tekst, taal en taalgeschiedenis (1990), p. 114-121.;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02739.php;saga; J. Tucker (red.), Sagas of the Icelanders: a book of essays (1989).;
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03045.php;streekliteratuur; J. van Bremen, Sj. van der Geest & J. Verrips (red.), Romantropologie. Essays over antropologie en literatuur (1979-1984);
https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02563.php;atlas; J. Werner, Abraham Ortelius (1527-1598): aartsvader van onze atlas (1998).;
