lemma;lemma-href;;
à la poupée;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02918.php;Klik;
a minori / a maiori;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03390.php;Klik;
a.l.s.;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00086.php;Klik;
a.w.;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01446.php;Klik;
aandachtsstreepje;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02418.php;Klik;
aangesprokene;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04896.php;Klik;
aanhaling;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00758.php;Klik;
aanhangsel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00241.php;Klik;
aanhef;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00531.php;Klik;
aanroeping;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00963.php;Klik;
aanschouwelijkheid;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00712.php;Klik;
aanschouwelijkheid;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04394.php;Klik;
aanspraak;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00169.php;Klik;
ab ovo;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00716.php;Klik;
a-b-boek;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00094.php;Klik;
abbreviatio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02419.php;Klik;
abbreviatuur;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00091.php;Klik;
abc-boek;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00094.php;Klik;
abecedarium-1;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02420.php;Klik;
abecedarium-2;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00094.php;Klik;
abel spel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00632.php;Klik;
Abgesang;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01831.php;Klik;
ablaut;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_04568.php;Klik;
abortief;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00095.php;Klik;
absolute poëzie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03283.php;Klik;
abstract;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05476.php;Klik;
abstracte poëzie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03284.php;Klik;
abstractum pro concreto;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05161.php;Klik;
absurd toneel;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00536.php;Klik;
absurdisme;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00535.php;Klik;
abusio;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01990.php;Klik;
academie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03359.php;Klik;
acatalectisch;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01989.php;Klik;
accent;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02023.php;Klik;
accentletter;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00121.php;Klik;
accentteken;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_00121.php;Klik;
accentuatie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02023.php;Klik;
accentvers;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02253.php;Klik;
accentverschuiving;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01973.php;Klik;
accessus ad auctores;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_03360.php;Klik;
accidentals;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02421.php;Klik;
acclamatie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_01974.php;Klik;
acconsonantie;https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_02389.php;Klik;
